Major,Course,Score,Grade,Evaluation
BA,BA_102,78.8,C,8
BA,BA_103,67.92,D,8
BA,BA_101,81.23,B,10
BA,BA_102,69.52,D,7
BA,BA_103,67.14,D,6
BA,BA_101,71.35,C,5
BA,BA_102,85.36,B,10
BA,BA_103,61.48,D,6
BA,BA_101,87.48,B,10
BA,BA_102,71.25,C,9
BA,BA_103,72.13,C,8
BA,BA_101,90.16,A,9
BA,BA_102,85.6,B,8
BA,BA_103,76.39,C,7
BA,BA_101,71.64,C,9
BA,BA_102,74.29,C,6
BA,BA_103,72.34,C,8
BA,BA_101,75.63,C,7
BA,BA_102,64.58,D,5
BA,BA_103,78.97,C,8
BA,BA_101,73.08,C,7
BA,BA_102,75.04,C,7
BA,BA_103,72.17,C,7
BA,BA_101,82.28,B,8
BA,BA_102,73.55,C,7
BA,BA_103,70.05,C,6
BA,BA_101,65.66,D,4
BA,BA_102,64.71,D,7
BA,BA_103,64.32,D,5
BA,BA_101,70.1,C,5
BA,BA_102,70.48,C,7
BA,BA_103,69.88,D,8
BA,BA_101,78.87,C,9
BA,BA_102,58.43,F,5
BA,BA_103,89.93,B,9
BA,BA_101,74.08,C,7
BA,BA_102,61.39,D,4
BA,BA_103,77.3,C,8
BA,BA_101,79.51,C,7
BA,BA_102,74.04,C,8
BA,BA_103,81.45,B,9
BA,BA_101,81.95,B,10
BA,BA_102,78.99,C,7
BA,BA_103,89.03,B,9
BA,BA_101,71.56,C,7
BA,BA_102,70.69,C,7
BA,BA_103,76.41,C,7
BA,BA_101,71.54,C,8
BA,BA_102,70.41,C,7
BA,BA_103,65.62,D,9
BA,BA_101,83.5,B,9
BA,BA_102,69.15,D,7
BA,BA_103,72.56,C,7
BA,BA_101,81.14,B,6
BA,BA_102,75.67,C,9
BA,BA_103,88,B,8
BA,BA_101,81.61,B,8
BA,BA_102,65.26,D,5
BA,BA_103,86.07,B,8
BA,BA_101,75.46,C,9
BA,BA_102,63.47,D,6
BA,BA_103,59.19,F,8
BA,BA_101,78.32,C,8
BA,BA_102,70.72,C,6
BA,BA_103,77.22,C,8
BA,BA_101,66.14,D,6
BA,BA_102,77.1,C,7
BA,BA_103,74.52,C,6
BA,BA_101,76.3,C,7
BA,BA_102,63.24,D,8
BA,BA_103,86.33,B,9
BA,BA_101,64.03,D,6
BA,BA_102,71.98,C,5
BA,BA_103,71.89,C,7
BA,BA_101,74.18,C,8
BA,BA_102,80.58,B,8
BA,BA_103,73.3,C,9
BA,BA_101,94.98,A,9
BA,BA_102,64.77,D,8
BA,BA_103,86.31,B,9
BA,BA_101,68.01,D,5
BA,BA_102,79.52,C,10
BA,BA_103,78.36,C,9
BA,BA_101,68.43,D,8
BA,BA_102,64.54,D,6
BA,BA_103,74.42,C,8
BA,BA_101,68.69,D,7
BA,BA_102,80.59,B,8
BA,BA_103,76.67,C,6
BA,BA_101,84.39,B,7
BA,BA_102,84.83,B,8
BA,BA_103,83.54,B,8
BA,BA_101,72.92,C,8
BA,BA_102,69.26,D,5
BA,BA_103,68.62,D,6
BA,BA_101,63.24,D,6
BA,BA_102,81.5,B,9
BA,BA_103,75.49,C,8
BA,BA_101,89.19,B,6
BA,BA_102,70.96,C,8
BA,BA_103,75.68,C,8
BA,BA_101,80.31,B,8
BA,BA_102,78.48,C,7
BA,BA_103,78.23,C,10
BA,BA_101,81.2,B,7
BA,BA_102,76.41,C,7
BA,BA_103,66.77,D,8
BA,BA_101,89.83,B,10
BA,BA_102,72.68,C,6
BA,BA_103,79.36,C,8
BA,BA_101,85.54,B,9
BA,BA_102,82.28,B,9
BA,BA_103,75.45,C,8
BA,BA_101,77.74,C,6
BA,BA_102,83.06,B,9
BA,BA_103,75.48,C,6
BA,BA_101,67.12,D,8
BA,BA_102,72.29,C,7
BA,BA_103,70.55,C,7
BA,BA_101,71.78,C,7
BA,BA_102,68.24,D,6
BA,BA_103,71.66,C,7
BA,BA_101,77.37,C,8
BA,BA_102,66.49,D,6
BA,BA_103,77.72,C,8
BA,BA_101,90.97,A,8
BA,BA_102,76.38,C,7
BA,BA_103,69.41,D,7
BA,BA_101,81.09,B,8
BA,BA_102,63.33,D,5
BA,BA_103,68.88,D,7
BA,BA_101,66.59,D,9
BA,BA_102,71.75,C,7
BA,BA_103,75.82,C,6
BA,BA_101,76.96,C,6
BA,BA_102,68.83,D,6
BA,BA_103,74.17,C,8
BA,BA_101,70.99,C,7
BA,BA_102,93.33,A,8
BA,BA_103,73.94,C,7
BA,BA_101,75.34,C,7
BA,BA_102,84.53,B,7
BA,BA_103,64.74,D,7
BA,BA_101,78.37,C,7
BA,BA_102,76.21,C,7
BA,BA_103,76.84,C,7
BA,BA_101,73.99,C,9
BA,BA_102,68.33,D,8
BA,BA_103,79.17,C,8
BA,BA_101,69.44,D,7
BA,BA_102,77.48,C,7
BA,BA_103,75.32,C,8
BA,BA_101,73.75,C,7
BA,BA_102,62.48,D,7
BA,BA_103,73.5,C,8
BA,BA_101,72,C,8
BA,BA_102,77.04,C,5
BA,BA_103,65.94,D,8
BA,BA_101,78,C,7
BA,BA_102,73.65,C,7
BA,BA_103,56.27,F,6
BA,BA_101,78.67,C,8
BA,BA_102,87.63,B,8
BA,BA_103,81.82,B,9
BA,BA_101,59.32,F,6
BA,BA_102,69.54,D,5
BA,BA_103,86.19,B,8
BA,BA_101,71.64,C,4
BA,BA_102,66.6,D,6
BA,BA_103,68.42,D,6
BA,BA_101,82.71,B,7
BA,BA_102,74.49,C,8
BA,BA_103,72.01,C,7
BA,BA_101,86.59,B,8
BA,BA_102,82.72,B,8
BA,BA_103,71.78,C,9
BA,BA_101,73.45,C,8
BA,BA_102,79.35,C,9
BA,BA_103,72.92,C,8
BA,BA_101,70.36,C,6
BA,BA_102,75.9,C,7
BA,BA_103,83.47,B,10
BA,BA_101,76.54,C,7
BA,BA_102,84.22,B,8
BA,BA_103,69.93,D,7
BA,BA_101,76.59,C,9
BA,BA_102,71.7,C,8
BA,BA_103,69.37,D,8
BA,BA_101,80.1,B,9
BA,BA_102,70.6,C,7
BA,BA_103,74,C,7
BA,BA_101,87.43,B,10
BA,BA_102,80.34,B,8
BA,BA_103,87.48,B,10
BA,BA_101,78.09,C,9
BA,BA_102,96.36,A,9
BA,BA_103,77.85,C,9
BA,BA_101,80.36,B,8
BA,BA_102,67.04,D,7
BA,BA_103,72.91,C,5
BA,BA_101,86.17,B,9
BA,BA_102,69.65,D,7
BA,BA_103,63.54,D,7
BA,BA_101,66.45,D,7
BA,BA_102,78.07,C,8
BA,BA_103,72.95,C,7
BA,BA_101,67.66,D,6
BA,BA_102,80.72,B,8
BA,BA_103,70.76,C,7
BA,BA_101,77.79,C,7
BA,BA_102,73.02,C,6
BA,BA_103,84.48,B,7
BA,BA_101,73.02,C,7
BA,BA_102,65.69,D,9
BA,BA_103,87.21,B,8
BA,BA_101,76.08,C,7
BA,BA_102,74.28,C,7
BA,BA_103,67.62,D,7
BA,BA_101,68,D,8
BA,BA_102,71.23,C,5
BA,BA_103,88.13,B,9
BA,BA_101,64.28,D,6
BA,BA_102,88.49,B,9
BA,BA_103,80.77,B,7
BA,BA_101,97.4,A,10
BA,BA_102,82.81,B,7
BA,BA_103,77.39,C,8
BA,BA_101,76.26,C,7
BA,BA_102,84.68,B,10
BA,BA_103,78.28,C,8
BA,BA_101,88.22,B,7
BA,BA_102,79.24,C,8
BA,BA_103,80.92,B,7
BA,BA_101,86.47,B,10
BA,BA_102,67.74,D,6
BA,BA_103,62.08,D,5
BA,BA_101,74.68,C,8
BA,BA_102,77.8,C,8
BA,BA_103,74.27,C,8
BA,BA_101,62.36,D,7
BA,BA_102,73.41,C,8
BA,BA_103,85.87,B,8
BA,BA_101,85.99,B,10
BA,BA_102,72.1,C,5
BA,BA_103,83.73,B,9
BA,BA_101,74.33,C,7
BA,BA_102,74.75,C,8
BA,BA_103,78.32,C,6
BA,BA_101,73.47,C,6
BA,BA_102,75.43,C,8
BA,BA_103,69.13,D,6
BA,BA_101,85.04,B,10
BA,BA_102,72.94,C,7
BA,BA_103,67.42,D,6
BA,BA_101,69.15,D,6
BA,BA_102,72.92,C,10
BA,BA_103,67.5,D,5
BA,BA_101,73.75,C,5
BA,BA_102,84.67,B,7
BA,BA_103,80.12,B,7
BA,BA_101,74.36,C,7
BA,BA_102,77.67,C,8
BA,BA_103,68.58,D,7
BA,BA_101,70.66,C,5
BA,BA_102,73.45,C,8
BA,BA_103,68.74,D,7
BA,BA_101,87.52,B,8
BA,BA_102,71.8,C,6
BA,BA_103,63.06,D,6
BA,BA_101,78.45,C,7
BA,BA_102,66.18,D,8
BA,BA_103,88.02,B,7
BA,BA_101,78.64,C,8
BA,BA_102,63.44,D,5
BA,BA_103,76.04,C,7
BA,BA_101,84.45,B,8
BA,BA_102,67.52,D,7
BA,BA_103,75.95,C,9
BA,BA_101,84.53,B,10
BA,BA_102,66,D,9
BA,BA_103,78.53,C,7
BA,BA_101,75.06,C,8
BA,BA_102,67.18,D,6
BA,BA_103,75.71,C,8
BA,BA_101,71.99,C,6
BA,BA_102,64.7,D,6
BA,BA_103,75.87,C,6
BA,BA_101,79.33,C,7
BA,BA_102,80.77,B,9
BA,BA_103,79.43,C,9
BA,BA_101,74.54,C,7
BA,BA_102,81.73,B,8
BA,BA_103,77.92,C,7
BA,BA_101,74.2,C,7
BA,BA_102,79.85,C,8
BA,BA_103,67.93,D,7
BA,BA_101,74.41,C,7
BA,BA_102,82.23,B,7
BA,BA_103,75.83,C,7
BA,BA_101,80.92,B,7
BA,BA_102,93,A,8
BA,BA_103,77.1,C,6
BA,BA_101,77.44,C,7
BA,BA_102,71.01,C,8
BA,BA_103,69.78,D,6
BA,BA_101,83.12,B,9
BA,BA_102,78.2,C,7
BA,BA_103,65.7,D,7
BA,BA_101,86.85,B,8
BA,BA_102,87.43,B,7
BA,BA_103,68.04,D,5
BA,BA_101,66.18,D,7
BA,BA_102,73.76,C,8
BA,BA_103,79.57,C,9
BA,BA_101,80.34,B,5
BA,BA_102,87.22,B,8
BA,BA_103,69.65,D,8
BA,BA_101,86.72,B,9
BA,BA_102,72.44,C,8
BA,BA_103,77.91,C,8
BA,BA_101,71.52,C,8
BA,BA_102,76.14,C,8
BA,BA_103,90.32,A,9
BA,BA_101,81.61,B,8
BA,BA_102,70.61,C,7
BA,BA_103,73.06,C,7
BA,BA_101,75.43,C,8
BA,BA_102,73.43,C,7
BA,BA_103,82.68,B,8
BA,BA_101,60.18,D,5
BA,BA_102,71.03,C,8
BA,BA_103,69.6,D,8
BA,BA_101,87.55,B,8
BA,BA_102,64.01,D,7
BA,BA_103,83.28,B,7
BA,BA_101,96.63,A,10
BA,BA_102,81.46,B,9
BA,BA_103,76.84,C,8
BA,BA_101,62.62,D,7
BA,BA_102,87.72,B,9
BA,BA_103,83.38,B,7
BA,BA_101,80.51,B,10
BA,BA_102,75.92,C,7
BA,BA_103,70.38,C,5
BA,BA_101,79.63,C,5
BA,BA_102,64.13,D,8
BA,BA_103,82.56,B,8
BA,BA_101,79.26,C,7
BA,BA_102,75.87,C,7
BA,BA_103,72.03,C,7
BA,BA_101,86.01,B,8
BA,BA_102,75.65,C,6
BA,BA_103,78.54,C,8
BA,BA_101,61.61,D,8
BA,BA_102,78.64,C,9
BA,BA_103,55.76,F,7
BA,BA_101,59.66,F,6
BA,BA_102,72.96,C,7
BA,BA_103,72.93,C,9
BA,BA_101,76.03,C,8
BA,BA_102,85,B,8
BA,BA_103,67.85,D,8
BA,BA_101,71.72,C,7
BA,BA_102,80.75,B,7
BA,BA_103,79.83,C,10
BA,BA_101,85.75,B,10
BA,BA_102,80.91,B,8
BA,BA_103,80.94,B,8
BA,BA_101,71.53,C,6
BA,BA_102,67.25,D,7
BA,BA_103,82.13,B,7
BA,BA_101,72.76,C,7
BA,BA_102,78.47,C,8
BA,BA_103,79.5,C,7
BA,BA_101,87.65,B,8
BA,BA_102,80.75,B,7
BA,BA_103,76.71,C,6
BA,BA_101,85.9,B,10
BA,BA_102,76.39,C,8
BA,BA_103,73.01,C,8
BA,BA_101,73,C,7
BA,BA_102,77.34,C,6
BA,BA_103,70.08,C,8
BA,BA_101,77.04,C,7
BA,BA_102,75.06,C,6
BA,BA_103,60.68,D,6
BA,BA_101,77.54,C,6
BA,BA_102,66.39,D,8
BA,BA_103,79.29,C,9
BA,BA_101,93.4,A,10
BA,BA_102,75.5,C,7
BA,BA_103,80.27,B,8
BA,BA_101,73.98,C,8
BA,BA_102,62.68,D,6
BA,BA_103,86.92,B,9
BA,BA_101,50.07,F,6
BA,BA_102,77.23,C,8
BA,BA_103,77.28,C,7
BA,BA_101,66.78,D,6
BA,BA_102,71.91,C,8
BA,BA_103,79.2,C,8
BA,BA_101,59.4,F,6
BA,BA_102,58.83,F,9
BA,BA_103,77.64,C,8
BA,BA_101,83.27,B,10
BA,BA_102,70.29,C,8
BA,BA_103,79.57,C,8
BA,BA_101,78.6,C,9
BA,BA_102,72.38,C,6
BA,BA_103,76.74,C,5
BA,BA_101,89.67,B,9
BA,BA_102,77.51,C,9
BA,BA_103,85.02,B,9
BA,BA_101,83.09,B,10
BA,BA_102,96.67,A,10
BA,BA_103,81.05,B,9
BA,BA_101,77.81,C,8
BA,BA_102,80.51,B,8
BA,BA_103,59.61,F,7
BA,BA_101,79.74,C,9
BA,BA_102,84.31,B,9
BA,BA_103,72.72,C,7
BA,BA_101,85.53,B,9
BA,BA_102,64.08,D,5
BA,BA_103,75.51,C,8
BA,BA_101,67.31,D,8
BA,BA_102,81.58,B,8
BA,BA_103,73.99,C,9
BA,BA_101,78.45,C,6
BA,BA_102,73,C,6
BA,BA_103,82.78,B,8
BA,BA_101,71.38,C,9
BA,BA_102,73.81,C,8
BA,BA_103,81.3,B,9
BA,BA_101,77.52,C,6
BA,BA_102,66.3,D,8
BA,BA_103,81.66,B,8
BA,BA_101,93.54,A,9
BA,BA_102,75.08,C,7
BA,BA_103,70.79,C,4
BA,BA_101,69.63,D,6
BA,BA_102,75.3,C,7
BA,BA_103,70,C,7
BA,BA_101,70.55,C,9
BA,BA_102,61.02,D,7
BA,BA_103,63.68,D,7
BA,BA_101,89.73,B,9
BA,BA_102,79.01,C,7
BA,BA_103,74.2,C,8
BA,BA_101,66.46,D,7
BA,BA_102,79.3,C,7
BA,BA_103,65.25,D,9
BA,BA_101,71.18,C,6
BA,BA_102,67.25,D,6
BA,BA_103,79.86,C,8
BA,BA_101,84.57,B,8
BA,BA_102,80.5,B,8
BA,BA_103,74.74,C,6
BA,BA_101,64.53,D,8
BA,BA_102,71.48,C,8
BA,BA_103,86.32,B,8
BA,BA_101,76.49,C,7
BA,BA_102,74.29,C,6
BA,BA_103,85.32,B,9
BA,BA_101,88.71,B,8
BA,BA_102,62.25,D,8
BA,BA_103,85.4,B,9
BA,BA_101,83.84,B,10
BA,BA_102,76.41,C,6
BA,BA_103,72.85,C,7
BA,BA_101,77.22,C,9
BA,BA_102,79.51,C,7
BA,BA_103,84.41,B,9
BA,BA_101,81.92,B,9
BA,BA_102,100,A,10
BA,BA_103,70.03,C,7
